No,Kode DDC,Jenis Buku,Sumber Buku,Kategori Buku,Judul Buku,Penerbit,Pengarang,ISBN,Buku Kelas,Tahun Terbit,Tinggi Buku (cm),Tgl Penerimaan,Jml Halaman (lembar),Jml Eksemplar (pcs),Stok Buku (pcs),Rak Buku,Gambr Buku
B00059,16,2,1,1,Matematika ,Erlangga,Kasmina dkk,978-602-434-745-1,X,2018,25,,334,334,42,4,B00059.jpg
B00060,16,2,1,1,Matematika ,Erlangga,Sudianto Manullang dkk,978-602-282-106-9,XII,2017,25,,338,338,95,4,B00060.jpg
B00061,16,2,1,1,Matematika  Jilid 2,Erlangga,Kasmina dkk,978-602-434-746-8,XI,2018,25,,340,340,71,4,B00061.jpg
B00062,16,2,1,1,Matematika Jilid 3,Erlangga,Kasmina dkk,978-602-434-747-5,XII,2019,25,,128,128,105,4,B00062.jpg
B00063,16,2,1,1,Matematika Jilid 4,Erlangga,Kasmina dkk,978-602-298-875-5,XII,2018,25,,154,154,31,4,B00063.jpg
B00064,16,2,1,1,Matematika,Kemendikbud,Bornok Sinaga dkk,978-602-282-493-0,X,2017,25,,224,224,36,4,B00064.jpg
B00065,16,2,1,3,Erlangga X-press Matematika,Erlangga,Kasmina dkk,978-623-266-352-7,XII,2021,25,,162,162,28,,B00065.jpg
B00066,11,2,1,3,Erlangga X-press Bahasa Inggris,Erlangga,Endrawati,978-623-266-381-7,XII,2021,25,,79,79,10,,B00066.jpg
B00067,12,2,1,3,Erlangga X-press Bahasa Indonesia,Erlangga,Rustamanji,978-623-266-351-6,XII,2021,,,196,196,28,,B00067.jpg
B00068,17,2,1,4,MIM'S Petunjuk Konsultasi Edisi 19,PT. Isfi Indonesia ,Ikatan Apoteker Indomesia,,XII,2021,,,200,200,25,Lab,B00068.jpg
B00069,18,2,1,4,ISO (Indonesia Volume 52 Tahun 2019,PT. Isfi Indonesia ,Ikatan Apoteker Indomesia,8-997226-830011,XII,2021,20,,456,456,25,Lab,B00069.jpg
B00070,17,2,1,1,Farmakope Edisi 3,Kemendikbud,Ikatan Apoteker Indomesia,,XII,2021,20,,1235,1235,10,Lab,B00070.jpg
B00071,17,2,1,1,Farmakope Edisi 5 Jilid 1,Kemendikbud,Ikatan Apoteker Indomesia,,XII,2021,25,,1235,1235,2,Lab,B00071.jpg
B00072,17,2,1,1,Farmakope Edisi 5 jilid 2,Kemendikbud,Ikatan Apoteker Indomesia,,XII,2021,25,,1235,1235,2,Lab,B00072.jpg
B00073,17,2,1,1,Farmakope Edisi 6 Jilid 1,Kemendikbud,Ikatan Apoteker Indomesia,,XII,2021,25,,1235,1235,2,Lab,B00073.jpg
B00074,17,2,1,1,Farmakope Edisi 6 Jilid 2,Kemendikbud,Ikatan Apoteker Indomesia,,XII,2021,25,,1235,1235,2,Lab,B00074.jpg
B00075,18,2,1,1,Anatomi Fisiologi,Medical Book,Zuyina Luk lukaningsih,978-62-9129-14-4,XI,2011,20,,116,116,1,2,B00075.jpg
B00076,17,2,1,4,MIM'S Petunjuk Konsultasi Edisi 19,Mim's Pharmacy Guide,Dr. Arlina Pramudianto,979074861-2,XI,2012,20,,435,435,1,2,B00076.jpg
B00077,18,2,1,1,Penyakit Infeksi ,Erlangga,Mandal dkk,978-979-033-588-2,XI,2014,20,,301,301,1,2,B00077.jpg
B00078,18,2,1,1,Keperawatan Gawat Darurat,Medical Book,"Musliha, S.Kep, Ners",978-979-1446-85-3,XI,2010,20,,180,180,1,2,B00078.jpg
B00079,18,2,1,1,Ilmu Komunikaso Dalam Konteks Keperawatan,Trans  Info Media ,"Ns.  Nunung Nurhasanah, S Kep",978-602-8200-47-9,XI,2013,20,,160,160,2,2,B00079.jpg
B00080,1,2,1,3,Erlangga Fokus AKM ,Erlangga,Tim Erlangga Fokus ,978-623-266-362-6,XII,2020,25,,246,246,106,2B,B00080.jpg
B00081,16,2,1,3,PTP Matematika ,Erlangga,Eka Zuliana dkk,978-623-266-030-4,X,2020,25,,234,234,111,2B,B00081.jpg
B00082,14,2,1,1,Prigel Bahsaa Jawa ,Erlangga,"Gandung Widaryatmo,dkk",978-602-298-635-5,X,2014,25,,148,148,51,3B,B00082.jpg
B00083,3,2,1,1,Pendidikan Agama Islam dan Budi Pekerti,Erlangga,H. Abd. Rahman dkk,978-602-434-633,XI,2017,25,,276,276,64,1B,B00083.jpg
B00084,3,2,1,1,Pendidikan Agama Islam dan Budi Pekerti,Kemendikbud ,Kemendikbud,978-602-282-407-7,XI,2014,25,,134,134,1,1B,B00084.jpg
B00085,3,2,1,1,Pendidikan Agama Islam dan Budi Pekerti,Kemendikbud,Mustahdi dkk,978-602-427-044-5,XI,2017,25,,218,218,76,1B,B00085.jpg
B00086,12,2,1,1,Bahasa Indoneisa,Kemendikbud,Suherli dkk,978-602-427-099-5,X,2017,25,,290,290,22,3A,B00086.jpg
B00087,12,2,1,1,Bahasa Indomesia,Kemendikbud ,Suherli dkk,978-602-427-2-8,XI,2017,25,,314,314,45,3A,B00087.jpg
B00088,3,2,1,1,Pendidikan Agama Islam dan Budi Pekerti,Erlangga,H. Abd. Rahman dkk,978--602-486-945-8,XI,2018,25,,242,242,21,2A,B00088.jpg
B00089,4,2,1,1,Pendidikan Pancasila dan Kewarganegaraan,Kemendikbud,Yusnawan Lubis dkk,978-602-427-092-6,XI,2017,25,,228,228,89,3B,B00089.jpg
B00090,11,2,1,1,Produktif Berbahasa Indonesia,Erlangga,Yustinah,978-602-434-638-6,X,2017,25,,276,276,41,3A,B00090.jpg
B00091,11,2,1,1,Produktif Berbahasa Indonesia,Erlangga,Yustinah,978-602-434-639-3,XI,2018,25,,274,274,1,3A,B00091.jpg
B00092,18,2,1,1,K3 & Kesehatan Lingkungan,EGC,"Budi Yulianto, M.Kes",978-979-044-376-1,X,2013,25,,130,130,1,,B00092.jpg
